medicamento,TAG,panico,transtorno_de_estresse,fobias,fobia_social,TOC,depressao_melancolica,depressao_ansiosa,depressao_com_agitacao_agressiva,depressao_atipica,dor,vicios,tabagismo,compulsao,bulimia_anorexia,TDPM,ideacao_suicida
Venlafaxina,,,,,,,primeira_escolha,,,,,,,,,,primeira_escolha
Desvenlafaxina,,,,,,,,,,,,,,,,,
Duloxetina,,,,,,,,,,,primeira_escolha,,,,,,
Amitriptilina,,,,,,,,,,,,,,,,,
Nortriptilina,,,,,,,,,,,,,,,,,
Clomipramina,,,,,primeira_escolha,,,,,,,,,,,,
Imipramina,,,,,,,,,,,,,,,,,
Doxepina,,,,,,,,,,,,,,,,,
Dosulepina,,,,,,,,,,,,,,,,,
Mirtazapina,,,,,,,,,,,,,,,,,
Trazodona,,,,,,,,,,,,,,,,,
Mianserina,,,,,,,,,,,,,,,,,
Maprotilina,,,,,,,,,,,,,,,,,
Fluoxetina,,,,,,,,,,,,,,primeira_escolha,primeira_escolha,primeira_escolha,
Citalopram,,,,,,,,,,,,,,,,,
Escitalopram,primeira_escolha,,primeira_escolha,,,,,primeira_escolha,,,,,,,,,
Sertralina,,,"primeira_escolha",primeira_escolha,,,,,,,,,,,,,
Fluvoxamina,,,,,,,,,,,,,,,,,
Paroxetina,,primeira_escolha,,,primeira_escolha,,,,,,,,,,,,
Vortioxetina,,,,,,,,,,,,,,,,,
Agomelatina,,,,,,,,,,,,,,,,,
Vilazodona,,,,,,,,,,,,,,,,,
Bupropiona,,,,,,,,,primeira_escolha,,,primeira_escolha,primeira_escolha,,,,
