medicamento,TAG,panico,transtorno_de_estresse,fobias,fobia_social,TOC,depressao_melancolica,depressao_ansiosa,depressao_com_agitacao_agressiva,depressao_atipica,dor,vicios,tabagismo,compulsao,bulimia_anorexia,TDPM,ideacao_suicida
Venlafaxina,muito_alta,muito_alta,alta,alta,alta,baixa,alta,muito_alta,alta,moderada,alta,baixa,baixa,moderada,moderada,alta,muito_alta
Desvenlafaxina,alta,moderada,moderada,moderada,moderada,baixa,alta,alta,alta,moderada,alta,baixa,baixa,baixa,baixa,moderada,muito_alta
Duloxetina,alta,moderada,moderada,baixa,moderada,alta,muito_alta,muito_alta,moderada,moderada,muito_alta,moderada,baixa,baixa,baixa,moderada,alta
Amitriptilina,moderada,alta,moderada,moderada,moderada,alta,muito_alta,alta,moderada,baixa,muito_alta,moderada,alta,alta,moderada,baixa,moderada
Nortriptilina,moderada,alta,moderada,moderada,moderada,muito_alta,alta,moderada,moderada,baixa,muito_alta,moderada,alta,alta,moderada,baixa,moderada
Clomipramina,alta,alta,moderada,moderada,moderada,muito_alta,muito_alta,alta,moderada,baixa,alta,moderada,moderada,muito_alta,alta,moderada,alta
Imipramina,alta,muito_alta,moderada,moderada,moderada,alta,muito_alta,alta,moderada,baixa,alta,moderada,alta,alta,moderada,baixa,moderada
Doxepina,moderada,muito_alta,moderada,moderada,moderada,alta,alta,moderada,moderada,baixa,alta,alta,alta,alta,moderada,baixa,moderada
Dosulepina,moderada,moderada,moderada,moderada,moderada,moderada,alta,alta,baixa,baixa,alta,moderada,moderada,moderada,baixa,baixa,moderada
Mirtazapina,moderada,moderada,moderada,moderada,moderada,baixa,alta,muito_alta,moderada,moderada,moderada,baixa,baixa,baixa,baixa,moderada,alta
Trazodona,moderada,moderada,moderada,moderada,moderada,baixa,moderada,moderada,baixa,baixa,moderada,baixa,baixa,baixa,baixa,baixa,moderada
Mianserina,moderada,moderada,moderada,baixa,moderada,baixa,moderada,moderada,baixa,baixa,moderada,baixa,baixa,baixa,baixa,baixa,moderada
Maprotilina,alta,alta,alta,baixa,moderada,alta,alta,alta,moderada,baixa,alta,moderada,moderada,alta,moderada,baixa,moderada
Fluoxetina,moderada,alta,alta,baixa,moderada,muito_alta,moderada,alta,moderada,alta,baixa,moderada,baixa,alta,muito_alta,muito_alta,muito_alta
Citalopram,alta,alta,moderada,moderada,alta,moderada,alta,muito_alta,moderada,moderada,baixa,baixa,baixa,moderada,moderada,alta,alta
Escitalopram,muito_alta,alta,moderada,moderada,alta,moderada,alta,muito_alta,moderada,moderada,baixa,baixa,baixa,moderada,moderada,muito_alta,muito_alta
Sertralina,alta,muito_alta,alta,moderada,alta,muito_alta,alta,muito_alta,moderada,moderada,baixa,moderada,baixa,alta,alta,muito_alta,muito_alta
Fluvoxamina,moderada,alta,moderada,moderada,moderada,alta,moderada,alta,baixa,baixa,baixa,baixa,evitar,alta,moderada,muito_alta,moderada
Paroxetina,alta,moderada,muito_alta,moderada,moderada,baixa,alta,muito_alta,alta,baixa,baixa,baixa,evitar,baixa,moderada,moderada,alta
Vortioxetina,moderada,moderada,moderada,alta,moderada,baixa,alta,alta,alta,moderada,baixa,baixa,baixa,baixa,baixa,baixa,moderada
Agomelatina,moderada,baixa,baixa,moderada,baixa,baixa,alta,moderada,alta,moderada,baixa,baixa,baixa,baixa,baixa,baixa,moderada
Vilazodona,alta,moderada,moderada,alta,moderada,baixa,alta,alta,alta,moderada,baixa,baixa,baixa,baixa,baixa,moderada,alta
Bupropiona,baixa,baixa,baixa,evitar,baixa,evitar,baixa,baixa,muito_alta,baixa,baixa,alta,muito_alta,baixa,baixa,baixa,moderada
