medication_name,age_band,age_min_years,age_max_years,source_system,source_abbreviation,source_title,source_version,source_date,source_url,source_locator,population_anchor,population_summary,dosage_anchor,dosage_summary,evidence_status,scientific_review_status,editorial_status,display_eligible,therapeutic_runtime_eligible,content_sha256
Acamprosato,CHILD,0,11,DailyMed/FDA,DM,"ACAMPROSATE CALCIUM (ACAMPROSATE CALCIUM ENTERIC-COATED) TABLET, DELAYED RELEASE [NCS HEALTHCARE OF KY, LLC DBA VANGARD LABS]",2,"Jun 15, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2bf6742-4b85-45e2-8daa-0f9bfc75a128,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/f2bf6742-4b85-45e2-8daa-0f9bfc75a128.xml,8.4 Pediatric Use,The safety and efficacy of acamprosate calcium delayed-release tablets have not been established in the pediatric population.,2 DOSAGE AND ADMINISTRATION,The recommended dose of acamprosate calcium delayed-release tablets is two 333 mg tablets (each dose should total 666 mg) taken three times daily.,official_population_section_located,official_source_extracted_pending_clinical_review,source_excerpt_display_only,true,false,942bfae51a27803f49459dbacba02abc958c01080482d8acf0a6c94fd1be3291
Acamprosato,ADOLESCENT,12,17,DailyMed/FDA,DM,"ACAMPROSATE CALCIUM (ACAMPROSATE CALCIUM ENTERIC-COATED) TABLET, DELAYED RELEASE [NCS HEALTHCARE OF KY, LLC DBA VANGARD LABS]",2,"Jun 15, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2bf6742-4b85-45e2-8daa-0f9bfc75a128,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/f2bf6742-4b85-45e2-8daa-0f9bfc75a128.xml,8.4 Pediatric Use,The safety and efficacy of acamprosate calcium delayed-release tablets have not been established in the pediatric population.,2 DOSAGE AND ADMINISTRATION,The recommended dose of acamprosate calcium delayed-release tablets is two 333 mg tablets (each dose should total 666 mg) taken three times daily.,official_population_section_located,official_source_extracted_pending_clinical_review,source_excerpt_display_only,true,false,942bfae51a27803f49459dbacba02abc958c01080482d8acf0a6c94fd1be3291
Acamprosato,ADULT,18,64,DailyMed/FDA,DM,"ACAMPROSATE CALCIUM (ACAMPROSATE CALCIUM ENTERIC-COATED) TABLET, DELAYED RELEASE [NCS HEALTHCARE OF KY, LLC DBA VANGARD LABS]",2,"Jun 15, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2bf6742-4b85-45e2-8daa-0f9bfc75a128,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/f2bf6742-4b85-45e2-8daa-0f9bfc75a128.xml,2 DOSAGE AND ADMINISTRATION,Acamprosate calcium delayed-release tablets are indicated for the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation. Treatment The recommended dose of acamprosate calcium delayed-release tablets is two 333 mg tablets (each dose should total 666 mg) taken three times daily.,2 DOSAGE AND ADMINISTRATION,The recommended dose of acamprosate calcium delayed-release tablets is two 333 mg tablets (each dose should total 666 mg) taken three times daily.,official_population_section_located,official_source_extracted_pending_clinical_review,source_excerpt_display_only,true,false,942bfae51a27803f49459dbacba02abc958c01080482d8acf0a6c94fd1be3291
Acamprosato,OLDER_ADULT,65,,DailyMed/FDA,DM,"ACAMPROSATE CALCIUM (ACAMPROSATE CALCIUM ENTERIC-COATED) TABLET, DELAYED RELEASE [NCS HEALTHCARE OF KY, LLC DBA VANGARD LABS]",2,"Jun 15, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2bf6742-4b85-45e2-8daa-0f9bfc75a128,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/f2bf6742-4b85-45e2-8daa-0f9bfc75a128.xml,8.5 Geriatric Use,"Forty-one of the 4234 patients in double-blind, placebo-controlled, clinical trials of acamprosate calcium delayed-release tablets were 65 years of age or older, while none were 75 years of age or over. There were too few patients in the ≥ 65 age group to evaluate any differences in safety or effectiveness for geriatric patients compared to younger patients. This drug is known to be substantially excreted by the kidney, and the risk of toxic reactions to this drug may be greater in patients with impaired renal function. Because elderly patients are",2 DOSAGE AND ADMINISTRATION,The recommended dose of acamprosate calcium delayed-release tablets is two 333 mg tablets (each dose should total 666 mg) taken three times daily.,official_population_section_located,official_source_extracted_pending_clinical_review,source_excerpt_display_only,true,false,942bfae51a27803f49459dbacba02abc958c01080482d8acf0a6c94fd1be3291
Agomelatina,CHILD,0,11,EMA,EMA,Valdoxan EPAR and product information,EPAR current product information,2026-07-20,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,"SmPC sections 4.1, 4.2 and 4.4","SmPC sections 4.1, 4.2 and 4.4",Valdoxan is authorised for major depressive episodes in adults; paediatric use is not an authorised indication.,"SmPC sections 4.1, 4.2 and 4.4","Adult product information describes 25 mg at bedtime, with possible increase to 50 mg after clinical review.",alternate_official_product_information_curated,official_source_extracted_pending_clinical_review,source_summary_display_only,true,false,702b41533464e08c79a536ab6fb764967a94f16101eb9c4396474392388c332e
Agomelatina,ADOLESCENT,12,17,EMA,EMA,Valdoxan EPAR and product information,EPAR current product information,2026-07-20,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,"SmPC sections 4.1, 4.2 and 4.4","SmPC sections 4.1, 4.2 and 4.4",Valdoxan is authorised for major depressive episodes in adults; the EMA paediatric-extension claim was withdrawn.,"SmPC sections 4.1, 4.2 and 4.4","Adult product information describes 25 mg at bedtime, with possible increase to 50 mg after clinical review.",alternate_official_product_information_curated,official_source_extracted_pending_clinical_review,source_summary_display_only,true,false,d444f5e8c528f5d73ab6db95b1e3bd073a966a9b02f49bddd2dd3e19b1b718b8
Agomelatina,ADULT,18,64,EMA,EMA,Valdoxan EPAR and product information,EPAR current product information,2026-07-20,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,"SmPC sections 4.1, 4.2 and 4.4","SmPC sections 4.1, 4.2 and 4.4",Valdoxan is authorised for treatment of major depressive episodes in adults.,"SmPC sections 4.1, 4.2 and 4.4","Adult product information describes 25 mg at bedtime, with possible increase to 50 mg after clinical review.",alternate_official_product_information_curated,official_source_extracted_pending_clinical_review,source_summary_display_only,true,false,f178561ede83a993dbed7c5736e91f7fd756ec77f7aab7f17d5ac2c5421f3063
Agomelatina,OLDER_ADULT,65,,EMA,EMA,Valdoxan EPAR and product information,EPAR current product information,2026-07-20,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,"SmPC sections 4.1, 4.2 and 4.4","SmPC sections 4.1, 4.2 and 4.4",Efficacy is documented below 75 years; EMA product information recommends against use from 75 years because efficacy was not demonstrated.,"SmPC sections 4.1, 4.2 and 4.4","Adult product information describes 25 mg at bedtime, with possible increase to 50 mg after clinical review.",alternate_official_product_information_curated,official_source_extracted_pending_clinical_review,source_summary_display_only,true,false,151472f9e7b9539012b15f4aab125828220b3abe65df271c5b80f52d282c4fd9
Alprazolam,CHILD,0,11,DailyMed/FDA,DM,ALPRAZOLAM TABLET [ST. MARY'S MEDICAL PARK PHARMACY],2,"Jun 23, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc5fe795-6b41-aecf-e053-6394a90af562,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/fc5fe795-6b41-aecf-e053-6394a90af562.xml,8.4 Pediatric Use,Safety and effectiveness of alprazolam have not been established in pediatric patients.,2 DOSAGE AND ADMINISTRATION,"2 DOSAGE AND ADMINISTRATION Generalized Anxiety Disorder: ( 2.1) Recommended starting oral dosage is 0.25 mg to 0.5 mg three times daily. | Dosage may be increased, at intervals of every 3 to 4 days, to a maximum recommended daily dose of 4 mg, given in divided doses. | Panic Disorder: Recommended starting oral dosage is 0.5 mg three times daily.",official_population_section_located,official_source_extracted_pending_clinical_review,source_excerpt_display_only,true,false,500d08336ac9e04cdea700efc36c47482247c9bdab02e60f9b6f48d6d39f87ca
Alprazolam,ADOLESCENT,12,17,DailyMed/FDA,DM,ALPRAZOLAM TABLET [ST. MARY'S MEDICAL PARK PHARMACY],2,"Jun 23, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc5fe795-6b41-aecf-e053-6394a90af562,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/fc5fe795-6b41-aecf-e053-6394a90af562.xml,8.4 Pediatric Use,Safety and effectiveness of alprazolam have not been established in pediatric patients.,2 DOSAGE AND ADMINISTRATION,"2 DOSAGE AND ADMINISTRATION Generalized Anxiety Disorder: ( 2.1) Recommended starting oral dosage is 0.25 mg to 0.5 mg three times daily. | Dosage may be increased, at intervals of every 3 to 4 days, to a maximum recommended daily dose of 4 mg, given in divided doses. | Panic Disorder: Recommended starting oral dosage is 0.5 mg three times daily.",official_population_section_located,official_source_extracted_pending_clinical_review,source_excerpt_display_only,true,false,500d08336ac9e04cdea700efc36c47482247c9bdab02e60f9b6f48d6d39f87ca
